year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	gp	gs	Goals	Assists	Points	Shots	Shot PCT	SOG	SOG PCT	GWG	EMO G	Man-Down G	GB	TO	CT	FOW	FOs Taken	FO%	Pen	Pen Time	GGP	GGS	G Min	Goals Allowed	GAA	Saves	Save Pct	RC	YC	Clears Suc	Clears Att	Clear Pct
2016	12380	1	518	Ohio St.	50	1423803	Haus, Robby	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1423803	Sr	1	1	1	1	 	 	0	 	""	 	""	 	 	 	1	 	 	 	""	""	1	60	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	16	1423804	Hunter, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1423804	Sr	1	1	1	1	 	 	0	2	""	 	""	 	 	 	3	2	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	33	1423805	Kapinos, Kacy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1423805	Sr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	1	1	2	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	21	1423808	Mahoney, Chris	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1423808	Sr	1	1	1	1	 	 	0	 	""	 	""	 	 	 	1	 	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	36	1423809	Pfister, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1423809	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	9	1545236	Blubaugh, J.T.	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1545236	Jr	1	1	1	1	1	 	1	6	0.167	4	0.667	 	 	 	1	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	10	1545237	Kelly, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1545237	Jr	1	1	1	1	1	1	2	5	0.200	2	0.400	1	 	 	1	2	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	18	1545238	Withers, Jake	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1545238	Jr	1	0	1	 	 	 	0	1	""	1	1.000	 	 	 	8	 	 	14	19	0.737	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	30	1558357	Pearson, Johnny	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1558357	Jr	1	0	1	 	2	 	2	5	0.400	4	0.800	 	 	 	 	2	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	41	1559285	Bailey, Lucas	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1559285	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	45	1652317	Barger, Brendan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652317	So	1	0	1	 	 	 	0	 	""	 	""	 	 	 	2	 	3	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	22	1652320	Chell, Colin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652320	So	1	1	1	1	1	 	1	3	0.333	1	0.333	 	1	 	1	1	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	43	1652321	Evans, Erik	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652321	So	1	1	1	1	 	 	0	 	""	 	""	 	 	 	1	 	 	 	""	""	1	30	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	44	1652322	Freibott, Freddy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652322	So	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	6	1652325	Hodgins, Trevor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652325	So	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	3	1652329	Carey, Tom	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652329	Jr	1	1	1	1	 	 	0	 	""	 	""	 	 	 	3	 	 	 	""	""	 	 	1	1	3,600	7	7.000	5	0.417	 	 	 	 	""
2016	12380	1	518	Ohio St.	31	1652337	Lichtenauer, Bryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652337	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	19	1765057	Barker, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1765057	Fr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	1	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	12	1765058	Best, Noah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1765058	Fr	1	0	1	 	 	 	0	1	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	32	1765059	Borges, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1765059	Fr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	2	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	20	1765062	Fannell, Eric	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1765062	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	5	1765063	Jasinski, Jack	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1765063	Fr	1	0	1	 	1	 	1	5	0.200	3	0.600	 	 	 	2	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	15	1765066	Lang, Brian	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1765066	Fr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	13	1765067	Lori, Bo	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1765067	So	1	0	1	 	 	 	0	1	""	1	1.000	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	518	Ohio St.	35	1765068	Maccani, Logan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1765068	Fr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
