game_id	section_id	team_id	team_name	team_url	period_scores
4005111	0	556	Providence		[0, 1, 1, 3, 5]
4005111	1	68	Boston U.		[1, 4, 3, 1, 9]
4004129	0	579	Robert Morris		[1, 1, 2, 3, 7]
4004129	1	539	Penn St.		[6, 8, 5, 1, 20]
4003276	0	381	Manhattan		[0, 1, 0, 2, 3]
4003276	1	81	Bryant		[7, 2, 3, 4, 16]
4005145	0	471	NJIT		[2, 0, 1, 1, 4]
4005145	1	352	Lehigh		[8, 8, 4, 1, 21]
4004130	0	721	Air Force		[2, 3, 0, 1, 6]
4004130	1	726	Navy		[0, 2, 4, 4, 10]
4003564	0	518	Ohio St.		[1, 3, 1, 3, 8]
4003564	1	244	Furman		[2, 0, 3, 2, 7]
4005239	0	738	Vermont		[4, 5, 4, 3, 16]
4005239	1	316	Jacksonville		[3, 6, 3, 5, 17]
4003824	0	180	Delaware		[1, 1, 2, 1, 5]
4003824	1	83	Bucknell		[4, 3, 4, 2, 13]
4003927	0	418	Michigan		[3, 3, 0, 4, 10]
4003927	1	457	North Carolina		[7, 3, 3, 7, 20]
