game_id	section_id	team_id	team_name	team_url	period_scores
1000356	1	552	SUNY Potsdam		[3, 2, 0, 4, 9]
1078013	0	8486	Lasell		[9, 6, 3, 3, 21]
1078013	1	18422	Rivier		[0, 2, 0, 0, 2]
1010871	0	761	Wells		[0, 1, 2, 1, 4]
1010871	1	30067	Morrisville St.		[1, 3, 5, 3, 12]
975492	0	806	Wittenberg		[5, 2, 4, 2, 13]
975492	1	515	Oberlin		[0, 0, 1, 1, 2]
858350	0	727	Union (NY)		[5, 3, 6, 5, 19]
858350	1	526	SUNY Oneonta		[4, 1, 1, 0, 6]
1000511	0	330	Keene St.		[5, 4, 5, 3, 17]
1000511	1	401	UMass Boston		[0, 0, 1, 0, 1]
926890	0	21852	Stevenson		[3, 4, 1, 1, 9]
926890	1	168	SUNY Cortland		[4, 3, 5, 1, 13]
1049211	0	69	Bowdoin		[2, 0, 1, 1, 4]
1049211	1	727	Union (NY)		[2, 2, 2, 4, 10]
1010911	0	30067	Morrisville St.		[4, 4, 4, 3, 15]
1010911	1	23624	Cazenovia		[2, 2, 4, 5, 13]
953310	0	390	Mary Washington		[4, 0, 4, 4, 12]
953310	1	565	Randolph-Macon		[3, 3, 0, 2, 8]
1078031	0	1036	Concordia Wisconsin		[3, 3, 2, 4, 12]
1078031	1	11538	Fontbonne		[3, 0, 4, 3, 10]
953470	0	781	Whittier		[1, 0, 0, 0, 1]
953470	1	211	Elizabethtown		[0, 2, 0, 1, 3]
1000631	0	213	Elmira		[0, 1, 2, 2, 5]
1000631	1	679	Stevens		[6, 6, 5, 3, 20]
858370	0	737	Vassar		[2, 3, 2, 1, 8]
858370	1	27892	Farmingdale St.		[5, 0, 4, 4, 13]
975590	0	484	Nichols		[0, 0, 5, 4, 9]
975590	1	775	Western New Eng.		[4, 7, 1, 3, 15]
1011011	0	547	Plattsburgh St.		[6, 1, 1, 2, 10]
1011011	1	30067	Morrisville St.		[2, 0, 0, 2, 4]
1049451	0	88	Cabrini		[6, 1, 2, 3, 12]
1049451	1	185	Dickinson		[2, 3, 2, 0, 7]
1078051	0	2758	Thomas (ME)		[3, 3, 2, 3, 1, 12]
1078051	1	324	Johnson St.		[3, 3, 4, 1, 0, 11]
858410	0	461	Nazareth		[2, 1, 4, 2, 9]
858410	1	633	Scranton		[3, 0, 0, 2, 5]
1078071	0	4	Adrian		[5, 2, 3, 3, 13]
1078071	1	121	Carthage		[1, 0, 3, 3, 7]
926930	0	1163	La Roche		[1, 3, 1, 3, 8]
926930	1	213	Elmira		[5, 3, 5, 6, 19]
953870	0	751	Wash. & Jeff.		[4, 2, 4, 6, 16]
953870	1	59	Bethany (WV)		[0, 0, 0, 1, 1]
1000834	0	611	St. Mary's (MD)		[1, 1, 1, 1, 4]
1000834	1	622	Salisbury		[4, 6, 4, 2, 16]
975630	0	745	Va. Wesleyan		[0, 7, 3, 3, 13]
975630	1	225	Ferrum		[2, 3, 1, 1, 7]
858411	0	88	Cabrini		[3, 4, 3, 3, 13]
858411	1	269	Hampden-Sydney		[1, 2, 3, 5, 11]
1050351	0	247	SUNY Geneseo		[0, 1, 0, 1, 2]
1050351	1	168	SUNY Cortland		[4, 2, 1, 2, 9]
1011051	0	30083	Cobleskill St.		[0, 1, 1, 1, 3]
1011051	1	30067	Morrisville St.		[2, 2, 1, 10, 15]
1000840	0	621	Salem St.		[1, 2, 1, 2, 6]
1000840	1	770	Western Conn. St.		[1, 0, 2, 6, 9]
975635	0	611	St. Mary's (MD)		[1, 2, 1, 1, 5]
975635	1	21852	Stevenson		[4, 4, 4, 2, 14]
927190	0	151	Colby		[0, 2, 6, 2, 10]
927190	1	467	New England Col.		[2, 1, 0, 3, 6]
1078091	0	379	Me.-Farmington		[0, 0, 3, 3, 6]
1078091	1	324	Johnson St.		[3, 4, 1, 0, 8]
953890	0	9500	SUNY Poly		[4, 0, 5, 7, 0, 0, 0, 16]
953890	1	30165	SUNY Canton		[1, 6, 4, 5, 0, 0, 1, 17]
1000910	0	730	Ursinus		[1, 3, 1, 0, 5]
1000910	1	276	Haverford		[5, 3, 3, 4, 15]
975638	0	182	Denison		[0, 2, 2, 5, 9]
975638	1	21852	Stevenson		[1, 7, 1, 3, 12]
858430	0	411	Messiah		[1, 6, 2, 2, 11]
858430	1	8404	Hood		[0, 2, 1, 0, 3]
928010	0	351	Lebanon Valley		[2, 1, 2, 2, 7]
928010	1	637	Shenandoah		[0, 1, 1, 0, 2]
1011071	0	789	Williams		[4, 2, 1, 2, 9]
1011071	1	420	Middlebury		[4, 3, 3, 4, 14]
1050612	0	1133	Husson		[2, 1, 4, 1, 8]
1050612	1	170	Curry		[1, 4, 5, 3, 13]
1078111	0	401	UMass Boston		[0, 2, 1, 2, 5]
1078111	1	27901	Mount Ida		[5, 1, 2, 4, 12]
1000911	0	1112	Guilford		[1, 2, 2, 2, 7]
1000911	1	578	Roanoke		[5, 6, 4, 2, 17]
1078131	0	24	Amherst		[1, 0, 2, 1, 4]
