game_id	section_id	player_id	player_name	player_url	starter	position	Goals	Assists	Points	Shots	SOG	Man-Up G	Man-Down G	GB	TO	CT	FO Won	FOs Taken	Pen	Pen Time	G Min	Goals Allowed	Saves	W	L	T	RC	YC	"Clears	Att"	Clear Pct
4004129	0	1642867	Sturgis, David	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1642867	true	""	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	0	1642888	Wales, Mitchell	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1642888	true	""	0	0	0	0	0	0	0	3	0	1	0	0	1	60	0	0	0	0	0	0	0	0	0	0	0
4004129	0	1642892	Yepsen, Conner	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1642892	true	""	1	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	0		TEAM		true	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	0		Totals		true	""	7	4	11	31	19	2	0	38	11	5	12	29	2	120	3	20	13	0	0	0	0	0	12	14	0
4004129	1	1750606	Ament, Grant	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750606	true	A	2	5	7	6	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1526687	Aponte, Nick	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1526687	true	A	2	4	6	4	4	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1652340	Aronow, Mike	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652340	true	D	0	0	0	0	0	0	0	2	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1526697	Craig, Dan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1526697	true	M	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1652350	Florence, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652350	true	M	3	1	4	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1545167	Prestreau, Brian	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1545167	true	M	2	0	2	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1750612	Sabia, Christopher	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750612	true	D	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1436076	Sanders, TJ	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1436076	true	A	4	2	6	5	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1652346	Schreiner, Will	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652346	true	GK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	6	1	0	0	0	0	0	0	0
4004129	1	1526709	Triolo, Peter	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1526709	true	D	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1750608	Black, Robby	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750608	true	""	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1436074	Burke, James	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1436074	true	""	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1652341	Butler, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652341	true	""	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1436125	Chakey, James	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1436125	true	""	1	2	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1526688	Chambers, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1526688	true	""	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1750614	Donnelly, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750614	true	""	1	0	1	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1750617	Fox, Kevin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750617	true	""	1	0	1	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1443098	Guittare, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1443098	true	""	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1750619	Hill, Kevin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750619	true	""	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1652342	Isenberg, Chris	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652342	true	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
