game_id	section_id	team_id	team_name	team_url	period_scores
4002641	0		Reinhardt		[2, 0, 2, 1, 5]
4002641	1	30151	Shorter	http://stats.ncaa.org/team/30151/12380	[0, 5, 3, 1, 9]
4003029	0	30193	Emmanuel (GA)	http://stats.ncaa.org/team/30193/12380	[2, 1, 0, 1, 4]
4003029	1	1176	Lincoln Memorial	http://stats.ncaa.org/team/1176/12380	[0, 3, 2, 7, 12]
4004291	0	30154	Young Harris	http://stats.ncaa.org/team/30154/12380	[2, 5, 5, 2, 14]
4004291	1	230	Florida Tech	http://stats.ncaa.org/team/230/12380	[4, 3, 4, 5, 16]
4005150	0	30094	Brevard	http://stats.ncaa.org/team/30094/12380	[2, 2, 0, 3, 7]
4005150	1	542	Pfeiffer	http://stats.ncaa.org/team/542/12380	[0, 4, 4, 7, 15]
4006357	0	30154	Young Harris	http://stats.ncaa.org/team/30154/12380	[2, 0, 1, 3, 6]
4006357	1	584	Rollins	http://stats.ncaa.org/team/584/12380	[2, 2, 7, 2, 13]
4008430	0	11504	Queens (NC)	http://stats.ncaa.org/team/11504/12380	[5, 1, 4, 2, 12]
4008430	1	233	Fla. Southern	http://stats.ncaa.org/team/233/12380	[2, 0, 2, 2, 6]
4008666	0	1174	Limestone	http://stats.ncaa.org/team/1174/12380	[5, 5, 3, 3, 16]
4008666	1	12830	Tusculum	http://stats.ncaa.org/team/12830/12380	[2, 1, 0, 2, 5]
4010659	0	542	Pfeiffer	http://stats.ncaa.org/team/542/12380	[2, 5, 4, 2, 13]
4010659	1	1199	Mars Hill	http://stats.ncaa.org/team/1199/12380	[1, 2, 1, 5, 9]
4010838	0	1328	Rockhurst	http://stats.ncaa.org/team/1328/12380	[1, 2, 3, 0, 1, 7]
4010838	1	1124	Hendrix	http://stats.ncaa.org/team/1124/12380	[2, 0, 3, 1, 0, 6]
4011159	0	1170	Lenoir-Rhyne	http://stats.ncaa.org/team/1170/12380	[4, 2, 2, 4, 12]
4011159	1	1174	Limestone	http://stats.ncaa.org/team/1174/12380	[3, 6, 4, 10, 23]
4011553	0	584	Rollins	http://stats.ncaa.org/team/584/12380	[3, 4, 3, 2, 12]
4011553	1	1023	Coker	http://stats.ncaa.org/team/1023/12380	[1, 4, 2, 3, 10]
4011559	0	9223	North Greenville	http://stats.ncaa.org/team/9223/12380	[0, 1, 2, 2, 5]
4011559	1	230	Florida Tech	http://stats.ncaa.org/team/230/12380	[5, 3, 2, 0, 10]
4011571	0	30150	Roberts Wesleyan	http://stats.ncaa.org/team/30150/12380	[10, 5, 4, 1, 20]
4011571	1	270	Hampton	http://stats.ncaa.org/team/270/12380	[0, 2, 0, 1, 3]
4011573	0	30209	Westminster (UT)	http://stats.ncaa.org/team/30209/12380	[7, 8, 1, 2, 18]
4011573	1	30056	Notre Dame de Namur	http://stats.ncaa.org/team/30056/12380	[0, 2, 2, 6, 10]
4011575	0	934	Alderson Broaddus	http://stats.ncaa.org/team/934/12380	[3, 5, 1, 2, 11]
4011575	1	11504	Queens (NC)	http://stats.ncaa.org/team/11504/12380	[4, 4, 5, 7, 20]
4011576	0	13302	Lees-McRae	http://stats.ncaa.org/team/13302/12380	[1, 3, 0, 2, 6]
4011576	1	263	Greensboro	http://stats.ncaa.org/team/263/12380	[2, 1, 1, 4, 8]
4011578	0	30193	Emmanuel (GA)	http://stats.ncaa.org/team/30193/12380	[0, 1, 2, 0, 3]
4011578	1	608	Saint Leo	http://stats.ncaa.org/team/608/12380	[7, 6, 4, 5, 22]
4012402	0	1245	Mount Olive	http://stats.ncaa.org/team/1245/12380	[3, 2, 5, 5, 15]
4012402	1	30094	Brevard	http://stats.ncaa.org/team/30094/12380	[1, 2, 1, 2, 6]
4012943	0	233	Fla. Southern	http://stats.ncaa.org/team/233/12380	[2, 4, 2, 2, 10]
4012943	1	30154	Young Harris	http://stats.ncaa.org/team/30154/12380	[1, 0, 1, 1, 3]
4013274	0	10	Ala.-Huntsville	http://stats.ncaa.org/team/10/12380	[0, 0, 1, 1, 2]
4013274	1	652	Sewanee	http://stats.ncaa.org/team/652/12380	[5, 5, 5, 2, 17]
4014709	0	30150	Roberts Wesleyan	http://stats.ncaa.org/team/30150/12380	[0, 4, 8, 6, 18]
4014709	1	1023	Coker	http://stats.ncaa.org/team/1023/12380	[2, 3, 2, 0, 7]
4014801	0	584	Rollins	http://stats.ncaa.org/team/584/12380	[2, 2, 3, 1, 8]
4014801	1	1245	Mount Olive	http://stats.ncaa.org/team/1245/12380	[1, 3, 4, 3, 11]
4015288	0	1001	Catawba	http://stats.ncaa.org/team/1001/12380	[1, 0, 1, 1, 3]
4015288	1	2683	Belmont Abbey	http://stats.ncaa.org/team/2683/12380	[3, 7, 5, 3, 18]
4015829	0	12830	Tusculum	http://stats.ncaa.org/team/12830/12380	[1, 4, 2, 2, 9]
4015829	1	689	Tampa	http://stats.ncaa.org/team/689/12380	[7, 1, 5, 4, 17]
4015979	0	30150	Roberts Wesleyan	http://stats.ncaa.org/team/30150/12380	[0, 2, 2, 0, 4]
4015979	1	1245	Mount Olive	http://stats.ncaa.org/team/1245/12380	[3, 2, 2, 6, 13]
4016525	0	1174	Limestone	http://stats.ncaa.org/team/1174/12380	[9, 6, 5, 3, 23]
4016525	1	30193	Emmanuel (GA)	http://stats.ncaa.org/team/30193/12380	[0, 0, 2, 1, 3]
