game_id	section_id	team_id	team_name	team_url	period_scores
4019435	0	748	Wagner	http://stats.ncaa.org/team/748/12380	[1, 3, 2, 1, 7]
4019435	1	342	Lafayette	http://stats.ncaa.org/team/342/12380	[3, 2, 5, 2, 12]
4020103	0	575	Richmond	http://stats.ncaa.org/team/575/12380	[2, 2, 3, 0, 7]
4020103	1	391	UMBC	http://stats.ncaa.org/team/391/12380	[1, 2, 1, 1, 5]
4020240	0	81	Bryant	http://stats.ncaa.org/team/81/12380	[1, 5, 3, 3, 12]
4020240	1	556	Providence	http://stats.ncaa.org/team/556/12380	[5, 1, 3, 1, 10]
4020273	0	62	Binghamton	http://stats.ncaa.org/team/62/12380	[0, 3, 1, 0, 4]
4020273	1	153	Colgate	http://stats.ncaa.org/team/153/12380	[3, 3, 3, 2, 11]
4020357	0	322	Johns Hopkins	http://stats.ncaa.org/team/322/12380	[2, 0, 4, 2, 8]
4020357	1	369	Loyola Maryland	http://stats.ncaa.org/team/369/12380	[3, 2, 2, 2, 9]
4020448	0	19651	High Point	http://stats.ncaa.org/team/19651/12380	[2, 4, 3, 1, 10]
4020448	1	392	Maryland	http://stats.ncaa.org/team/392/12380	[2, 2, 7, 4, 15]
4020573	0	738	Vermont	http://stats.ncaa.org/team/738/12380	[2, 5, 5, 2, 14]
4020573	1	285	Holy Cross	http://stats.ncaa.org/team/285/12380	[4, 0, 1, 3, 8]
4020715	0	471	NJIT	http://stats.ncaa.org/team/471/12380	[1, 0, 2, 1, 4]
4020715	1	554	Princeton	http://stats.ncaa.org/team/554/12380	[7, 6, 4, 4, 21]
4021235	0	172	Dartmouth	http://stats.ncaa.org/team/172/12380	[0, 3, 3, 2, 8]
4021235	1	590	Sacred Heart	http://stats.ncaa.org/team/590/12380	[2, 1, 2, 5, 10]
4021490	0	184	Detroit	http://stats.ncaa.org/team/184/12380	[1, 2, 1, 1, 5]
4021490	1	518	Ohio St.	http://stats.ncaa.org/team/518/12380	[4, 3, 3, 6, 16]
4021842	0	184	Detroit	http://stats.ncaa.org/team/184/12380	[0, 2, 2, 4, 8]
4021842	1	406	Mercer	http://stats.ncaa.org/team/406/12380	[4, 3, 1, 1, 9]
4021846	0	450	Mt. St. Mary's	http://stats.ncaa.org/team/450/12380	[1, 2, 1, 1, 5]
4021846	1	711	Towson	http://stats.ncaa.org/team/711/12380	[1, 4, 2, 2, 9]
4021866	0	556	Providence	http://stats.ncaa.org/team/556/12380	[0, 1, 1, 3, 5]
4021866	1	68	Boston U.	http://stats.ncaa.org/team/68/12380	[1, 4, 3, 1, 9]
4021876	0	746	Virginia	http://stats.ncaa.org/team/746/12380	[2, 4, 4, 4, 14]
4021876	1	191	Drexel	http://stats.ncaa.org/team/191/12380	[1, 3, 2, 1, 7]
4021909	0	539	Penn St.	http://stats.ncaa.org/team/539/12380	[2, 0, 5, 1, 8]
4021909	1	167	Cornell	http://stats.ncaa.org/team/167/12380	[2, 1, 0, 4, 7]
4021938	0	741	VMI	http://stats.ncaa.org/team/741/12380	[1, 1, 1, 2, 5]
4021938	1	606	Saint Joseph's	http://stats.ncaa.org/team/606/12380	[5, 4, 4, 2, 15]
4021982	0	316	Jacksonville	http://stats.ncaa.org/team/316/12380	[3, 2, 2, 1, 8]
4021982	1	603	St. John's (NY)	http://stats.ncaa.org/team/603/12380	[2, 2, 2, 1, 7]
4022131	0	283	Hofstra	http://stats.ncaa.org/team/283/12380	[3, 2, 4, 1, 10]
4022131	1	457	North Carolina	http://stats.ncaa.org/team/457/12380	[1, 1, 1, 2, 5]
4022378	0	180	Delaware	http://stats.ncaa.org/team/180/12380	[0, 0, 1, 0, 1]
4022378	1	726	Navy	http://stats.ncaa.org/team/726/12380	[1, 0, 1, 3, 5]
4022564	0	739	Villanova	http://stats.ncaa.org/team/739/12380	[4, 3, 1, 4, 0, 12]
4022564	1	275	Harvard	http://stats.ncaa.org/team/275/12380	[2, 4, 2, 4, 1, 13]
4022565	0	418	Michigan	http://stats.ncaa.org/team/418/12380	[1, 3, 0, 6, 10]
4022565	1	540	Penn	http://stats.ncaa.org/team/540/12380	[2, 2, 6, 2, 12]
4022567	0	14	Albany (NY)	http://stats.ncaa.org/team/14/12380	[2, 2, 2, 1, 7]
4022567	1	688	Syracuse	http://stats.ncaa.org/team/688/12380	[5, 2, 5, 4, 16]
4023392	0	587	Rutgers	http://stats.ncaa.org/team/587/12380	[3, 3, 2, 5, 13]
4023392	1	725	Army West Point	http://stats.ncaa.org/team/725/12380	[3, 0, 3, 5, 11]
4023958	0	80	Brown	http://stats.ncaa.org/team/80/12380	[5, 6, 5, 4, 20]
4023958	1	562	Quinnipiac	http://stats.ncaa.org/team/562/12380	[1, 1, 2, 3, 7]
4024688	0	518	Ohio St.	http://stats.ncaa.org/team/518/12380	[4, 2, 2, 1, 9]
4024688	1	400	Massachusetts	http://stats.ncaa.org/team/400/12380	[2, 5, 4, 5, 16]
4024689	0	251	Georgetown	http://stats.ncaa.org/team/251/12380	[0, 3, 3, 1, 7]
4024689	1	513	Notre Dame	http://stats.ncaa.org/team/513/12380	[4, 3, 2, 3, 12]
4025001	0	352	Lehigh	http://stats.ncaa.org/team/352/12380	[6, 1, 5, 3, 15]
4025001	1	244	Furman	http://stats.ncaa.org/team/244/12380	[0, 4, 1, 2, 7]
4025498	0	83	Bucknell	http://stats.ncaa.org/team/83/12380	[2, 1, 7, 3, 13]
4025498	1	220	Fairfield	http://stats.ncaa.org/team/220/12380	[2, 2, 2, 2, 8]
