year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	gp	gs	Goals	Assists	Points	Shots	Shot PCT	SOG	SOG PCT	GWG	EMO G	Man-Down G	GB	TO	CT	FOW	FOs Taken	FO%	Pen	Pen Time	GGP	GGS	G Min	Goals Allowed	GAA	Saves	Save Pct	RC	YC	Clears Suc	Clears Att	Clear Pct
2016	12380	721	Air Force	7	1656149	Matarazzo, Joe	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1656149	So	1	0	1	""	""	""	0	""	""	""	""	""	""	""	2	3	""	""	""	""	1	30	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	721	Air Force	11	1656150	Forrest, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1656150	So	1	0	1	""	""	""	0	1	""	1	1.000	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	721	Air Force	48	1428726	Lindell, Jake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1428726	Sr	1	0	1	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	721	Air Force	40	1538738	Swartzman, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1538738	Jr	1	0	1	""	""	""	0	""	""	""	""	""	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	721	Air Force	38	1765669	Ekpenyong, Malik	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765669	N/A	1	0	1	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	12	1768084	Surdick, Johnny	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1768084	Fr	1	0	1	""	""	""	0	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	81	1768080	MacAfee, Dalton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1768080	Fr	1	0	1	""	1	""	1	3	0.333	1	0.333	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	40	1768078	Jones, Nate	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1768078	Fr	1	0	1	""	2	1	3	5	0.400	3	0.600	""	1	""	2	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	9	1768076	DeSanti, Danny	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1768076	Fr	1	0	1	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	4	1768072	Barretto, AJ	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1768072	Fr	1	1	1	1	""	""	0	""	""	""	""	""	""	""	2	1	""	""	""	""	""	""	1	1	3,600	5	5.000	4	0.444	""	""	""	""	""
2016	12380	725	Army West Point	3	1657548	Santorelli, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1657548	So	1	1	1	1	""	""	0	""	""	""	""	""	""	""	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
