game_id	section_id	player_id	player_name	player_url	position	Goals	Assists	Points	Shots	SOG	Man-Up G	Man-Down G	GB	TO	CT	FO Won	FOs Taken	Pen	Pen Time	G Min	Goals Allowed	Saves	W	L	T	RC	YC	"Clears	Att"	Clear Pct
4003254	0		Ethan Shugart		D	""	""	""	""	""	""	""	2	""	""	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	0		Glenn Milton		A	2	3	5	7	4	""	""	2	4	1	""	""	1	60	""	""	""	""	""	""	""	""	""	""	""
4003254	0		Greg Wilson		M	4	2	6	8	7	""	""	8	2	3	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	0		Joshua Gracia		A	4	""	4	14	8	2	""	7	6	3	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	0		Matt Newlin		D	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	0		Mitchell Daniel		D	""	""	""	""	""	""	""	3	1	1	""	""	1	60	""	""	""	""	""	""	""	""	""	""	""
4003254	0		Najarri Whitehead		A	2	""	2	6	5	""	""	1	4	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	0		Ranon Simonsen		M	1	""	1	3	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	0		Ronald Grooms		G	""	""	""	""	""	""	""	""	1	2	""	""	""	""	3,600	15	12	1	""	""	""	""	""	""	""
4003254	0		Wm. Collazo-Brown		M	3	1	4	6	4	""	""	7	""	2	11	25	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	0		Dezmond Skipper		""	""	1	1	""	""	""	""	2	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	0		Donte Phillips		""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	0		Jacob Clark		""	""	""	""	""	""	""	""	1	1	""	5	10	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	0		William Burgos		""	2	""	2	4	3	""	""	2	""	""	""	""	2	120	""	""	""	""	""	""	""	""	""	""	""
4003254	0		TEAM		""	""	""	""	""	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	0		Totals		""	18	7	25	48	32	2	""	35	21	14	17	37	4	240	3,600	15	12	""	""	""	""	""	19	26	0.731
4003254	1	1765526	Houghton, Andrew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765526	A	2	3	5	6	6	""	""	2	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	1	1765521	Kwapil, Andrew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765521	D	""	""	""	""	""	""	""	6	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	1	1765518	Wyche, Devante	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765518	D	""	""	""	""	""	""	""	1	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	1	1765519	Hood, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765519	A	1	""	1	8	4	""	""	2	3	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	1	1765530	Arce, Jorge	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765530	M	""	""	""	""	""	""	""	""	1	""	4	14	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	1	1765523	Bush, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765523	D	""	""	""	""	""	""	""	2	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003254	1	1765528	Edwards, Lane	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765528	G	""	""	""	""	""	""	""	3	4	""	""	""	1	60	3,594	17	14	""	1/	""	""	""	""	""	""
