year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	games_played	games_started
2016	12380	721	Air Force	30	1656156.0	Siegel, Andrew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1656156.0	So	2	0
2016	12380	721	Air Force	8	1538736.0	Smith, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1538736.0	Jr	9	0
2016	12380	721	Air Force	35	1538737.0	Snyder, Steven	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1538737.0	Jr	0	0
2016	12380	721	Air Force	40	1538738.0	Swartzman, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1538738.0	Jr	1	0
2016	12380	721	Air Force	23	1778207.0	Swartzman, Isaac	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1778207.0	N/A	3	0
2016	12380	721	Air Force	29	1781938.0	Taucher, Logan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1781938.0	N/A	1	0
2016	12380	721	Air Force	36	1656158.0	Tien, Andrew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1656158.0	So	9	9
2016	12380	721	Air Force	44	1538739.0	Toscano, Luke	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1538739.0	Jr	0	0
2016	12380	721	Air Force	13	1656152.0	Valentine, Johnny	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1656152.0	So	0	0
2016	12380	721	Air Force	12	1656151.0	Walsch, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1656151.0	So	9	9
2016	12380	721	Air Force	28	1538740.0	Ward, Marcus	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1538740.0	Jr	9	0
2016	12380	721	Air Force	20	1428713.0	Warden, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1428713.0	Sr	9	9
2016	12380	721	Air Force	25	1656155.0	Warmolts, Jack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1656155.0	So	0	0
2016	12380	721	Air Force	49	1765671.0	Wheeler, Roman	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765671.0	N/A	9	0
2016	12380	14	Albany (NY)	44	1448962.0	Aycock, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1448962.0	Sr	0	0
2016	12380	14	Albany (NY)	15	1445575.0	Babcock, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1445575.0	Sr	6	6
2016	12380	14	Albany (NY)	27	1448972.0	Berger, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1448972.0	Sr	0	0
2016	12380	14	Albany (NY)	35		Brown, Alex		Fr	0	0
2016	12380	14	Albany (NY)	50	1532261.0	Burdette, James	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532261.0	Jr	6	4
2016	12380	14	Albany (NY)	23	1760842.0	Burgmaster, Jack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1760842.0	Fr	6	0
2016	12380	14	Albany (NY)	31		Chetuck, Brendan		Jr	0	0
2016	12380	14	Albany (NY)	9	1532262.0	Colarusso, JD	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532262.0	Jr	0	0
2016	12380	14	Albany (NY)	39	1643149.0	Cross, Trevor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1643149.0	So	1	0
2016	12380	14	Albany (NY)	7	1532263.0	Cullen, Jake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532263.0	Jr	6	0
